hm,hm_lower,hm_upper,ms,ms_lower,ms_upper,hs,hs_lower,hs_upper
-0.230144,-0.247141,-0.216666,-0.897801,-0.911056,-0.88784,-0.208023,-0.222423,-0.192129
0.593603,0.571021,0.612127,-0.138439,-0.159032,-0.116685,0.746836,0.731553,0.758576
0.325073,0.295534,0.340007,-0.695817,-0.712974,-0.67417,0.39566,0.373726,0.414962
0.559425,0.537005,0.581139,-0.154629,-0.169298,-0.12547,0.720743,0.704754,0.733866
0.586467,0.559745,0.609796,0.177288,0.15751,0.201396,0.807596,0.793357,0.818524
0.23391,0.217462,0.25401,-0.720071,-0.732136,-0.701096,0.310566,0.288042,0.322258
0.764146,0.747623,0.775534,0.128058,0.113101,0.142351,0.890613,0.882067,0.895509
0.761648,0.749212,0.776676,0.12144,0.107702,0.136526,0.888447,0.881944,0.895429
0.764426,0.747824,0.775356,0.118686,0.103039,0.132055,0.887095,0.88042,0.893932
0.66423,0.646517,0.689357,-0.014407,-0.034284,0.008731,0.818044,0.802829,0.827696
0.633205,0.60826,0.651167,-0.177207,-0.20118,-0.155252,0.76434,0.750568,0.779035
0.641726,0.61587,0.657818,-0.180939,-0.206125,-0.161125,0.770287,0.7543,0.782279
-0.380785,-0.403602,-0.358171,-0.893531,-0.919211,-0.869434,-0.357366,-0.377722,-0.331458
-0.54905,-0.570299,-0.522788,-0.999725,-1,-0.977827,-0.549651,-0.572528,-0.521569
0.536811,0.511468,0.554743,-0.172137,-0.197109,-0.153339,0.695482,0.682167,0.711383
0.545055,0.520803,0.562996,-0.18145,-0.205122,-0.162383,0.701569,0.685387,0.714481
0.538713,0.513353,0.555041,-0.173388,-0.195902,-0.153724,0.697304,0.683698,0.711927
0.328564,0.312201,0.347046,-0.228886,-0.249215,-0.214918,0.527621,0.51406,0.540425
0.23605,0.219563,0.244764,-0.215739,-0.229872,-0.204182,0.449518,0.440797,0.460717
0.610868,0.580644,0.65403,0.059719,0.027462,0.077724,0.800075,0.778717,0.8203
0.580563,0.540661,0.610899,0.04957,0.032581,0.083128,0.771177,0.754876,0.795753
0.441706,0.423457,0.469688,-0.104146,-0.127421,-0.08294,0.654091,0.63508,0.666416
0.428134,0.408353,0.448872,-0.517399,-0.538118,-0.498645,0.537459,0.517689,0.551868
0.292806,0.277961,0.313716,-0.725407,-0.740059,-0.710267,0.366581,0.34495,0.378793
0.474634,0.448747,0.498092,-0.337981,-0.365147,-0.316715,0.61235,0.59412,0.632682
0.915609,0.884208,0.949274,0.650655,0.638141,0.662915,0.983865,0.979121,0.991101
0.92492,0.897549,0.957268,0.648169,0.63681,0.661654,0.988277,0.981194,0.992789
0.896474,0.86569,0.920974,0.635115,0.624437,0.6487,0.982744,0.974659,0.985961
0.889188,0.858289,0.912833,0.633793,0.622735,0.646666,0.977544,0.971673,0.982678
-0.026508,-0.046245,-0.003523,-0.518745,-0.541471,-0.495688,0.112045,0.092081,0.131682
0.459266,0.443445,0.487419,-0.198004,-0.214822,-0.170959,0.641466,0.627217,0.658075
0.153445,0.136796,0.168004,-0.319277,-0.337417,-0.30532,0.344688,0.333391,0.359138
0.3845,0.3654,0.394184,-0.254982,-0.265168,-0.236463,0.561189,0.551114,0.572645
0.513768,0.489844,0.529511,-0.534714,-0.557888,-0.519076,0.604668,0.584184,0.617462
0.598614,0.565457,0.621578,-0.042141,-0.066703,-0.023321,0.765799,0.747839,0.78335
0.770524,0.746527,0.788239,-0.019528,-0.044568,0.004158,0.875696,0.863503,0.886648
0.717105,0.68888,0.734106,-0.017845,-0.041066,0.007869,0.845149,0.831073,0.856694
0.388208,0.322317,0.438436,-0.081035,-0.124821,-0.033624,0.603449,0.566942,0.648413
0.426931,0.410342,0.43677,-0.113621,-0.126591,-0.101007,0.632227,0.622982,0.641182
0.440284,0.42868,0.45354,-0.069151,-0.080927,-0.056741,0.657264,0.649073,0.665488
0.281639,0.259439,0.308853,-0.371108,-0.39874,-0.349234,0.450255,0.426245,0.46688
0.012084,-0.274784,0.261234,0.327442,0.074629,0.55022,0.47225,0.336017,0.627539
0.600096,0.581653,0.619707,-0.346987,-0.370661,-0.33011,0.714246,0.697822,0.726326
0.423761,0.416446,0.435851,-0.073388,-0.082849,-0.064416,0.644454,0.63824,0.651078
0.417543,0.397839,0.42947,-0.138523,-0.154115,-0.123458,0.618384,0.607614,0.629949
0.387955,0.368382,0.39881,-0.139783,-0.154658,-0.125071,0.594134,0.584413,0.605719
0.250766,0.228029,0.278497,-0.616333,-0.635165,-0.58858,0.351187,0.327579,0.373231
